cik,ticker,exchange,name,group,n_filings,first_filed,last_filed,price_from,price_to
920371,SSD,NYSE,"Simpson Manufacturing Co., Inc.",listed,20,2018-03-01,2022-11-08,2018-03-01,2023-05-27
1402436,SSNC,Nasdaq,SS&C Technologies Holdings Inc,listed,20,2018-02-28,2022-11-03,2018-02-28,2023-05-22
832428,SSP,Nasdaq,E.W. SCRIPPS Co,listed,20,2018-02-28,2022-11-08,2018-02-28,2023-05-27
1549346,SSTK,NYSE,"Shutterstock, Inc.",listed,20,2018-02-22,2022-10-25,2018-02-22,2023-05-13
1477294,ST,NYSE,Sensata Technologies Holding plc,listed,20,2018-02-01,2022-11-01,2018-02-01,2023-05-20
718937,STAA,Nasdaq,STAAR SURGICAL CO,listed,20,2018-02-28,2022-11-02,2018-02-28,2023-05-21
1479094,STAG,NYSE,"STAG Industrial, Inc.",listed,20,2018-02-15,2022-10-27,2018-02-15,2023-05-15
719220,STBA,Nasdaq,S&T BANCORP INC,listed,20,2018-03-01,2022-11-02,2018-03-01,2023-05-21
94344,STC,NYSE,STEWART INFORMATION SERVICES CORP,listed,20,2018-02-28,2022-11-08,2018-02-28,2023-05-27
1796022,STEP,Nasdaq,StepStone Group Inc.,listed,9,2020-11-12,2022-11-07,2020-11-12,2023-05-26
876883,STGW,Nasdaq,Stagwell Inc,listed,20,2018-03-01,2022-11-07,2018-03-01,2023-05-26
1022671,STLD,Nasdaq,STEEL DYNAMICS INC,listed,20,2018-02-27,2022-10-26,2018-02-27,2023-05-14
1623526,STOK,Nasdaq,"Stoke Therapeutics, Inc.",listed,5,2021-03-09,2022-11-14,2021-03-09,2023-06-02
1013934,STRA,Nasdaq,"Strategic Education, Inc.",listed,20,2018-03-01,2022-11-03,2018-03-01,2023-05-22
874238,STRL,Nasdaq,"STERLING INFRASTRUCTURE, INC.",listed,20,2018-03-06,2022-11-01,2018-03-06,2023-05-20
1382101,STRO,Nasdaq,"SUTRO BIOPHARMA, INC.",listed,17,2018-11-14,2022-11-08,2018-11-14,2023-05-27
885508,STRS,Nasdaq,STRATUS PROPERTIES INC,listed,20,2018-03-16,2022-11-14,2018-03-16,2023-06-02
933034,STRT,Nasdaq,STRATTEC SECURITY CORP,listed,19,2018-02-08,2022-11-10,2018-02-08,2023-05-29
929351,STRZ,Nasdaq,STARZ ENTERTAINMENT CORP /CN/,listed,20,2018-02-08,2022-11-07,2018-02-08,2023-05-26
93751,STT,NYSE,STATE STREET CORP,listed,20,2018-02-26,2022-10-26,2018-02-26,2023-05-14
1680367,STTK,Nasdaq,"Shattuck Labs, Inc.",listed,9,2020-11-13,2022-11-09,2020-11-13,2023-05-28
1465128,STWD,NYSE,"STARWOOD PROPERTY TRUST, INC.",listed,20,2018-02-28,2022-11-09,2018-02-28,2023-05-28
1137789,STX,Nasdaq,Seagate Technology Holdings plc,listed,20,2018-01-29,2022-10-27,2018-01-29,2023-05-15
1289340,STXS,NYSE,"Stereotaxis, Inc.",listed,20,2018-03-20,2022-11-14,2018-03-20,2023-06-02
16918,STZ,NYSE,"CONSTELLATION BRANDS, INC.",listed,20,2018-01-05,2022-10-06,2018-01-05,2023-04-24
912593,SUI,NYSE,SUN COMMUNITIES INC,listed,20,2018-02-22,2022-10-25,2018-02-22,2023-05-13
1356576,SUPN,Nasdaq,"SUPERNUS PHARMACEUTICALS, INC.",listed,20,2018-03-01,2022-11-09,2018-03-01,2023-05-28
1092796,SWBI,Nasdaq,"SMITH & WESSON BRANDS, INC.",listed,20,2018-03-01,2022-12-06,2018-03-01,2023-06-24
1833197,SWIM,Nasdaq,"Latham Group, Inc.",listed,7,2021-06-03,2022-11-10,2021-06-03,2023-05-29
93556,SWK,NYSE,"STANLEY BLACK & DECKER, INC.",listed,20,2018-02-27,2022-10-27,2018-02-27,2023-05-15
4127,SWKS,Nasdaq,"SKYWORKS SOLUTIONS, INC.",listed,20,2018-02-05,2022-11-23,2018-02-05,2023-06-11
1514705,SXC,NYSE,"SunCoke Energy, Inc.",listed,20,2018-02-15,2022-10-31,2018-02-15,2023-05-19
310354,SXI,NYSE,STANDEX INTERNATIONAL CORP/DE/,listed,20,2018-01-30,2022-11-04,2018-01-30,2023-05-23
