cik,ticker,exchange,name,group,n_filings,first_filed,last_filed,price_from,price_to
1098009,AAGH,OTC,America Great Health,delisted_or_shrunk,19,2018-02-20,2022-10-31,2018-02-20,2023-05-19
8177,AAME,Nasdaq,ATLANTIC AMERICAN CORP,delisted_or_shrunk,20,2018-03-26,2022-11-08,2018-03-26,2023-05-27
1158449,AAP,NYSE,ADVANCE AUTO PARTS INC,delisted_or_shrunk,20,2018-02-21,2022-11-16,2018-02-21,2023-06-04
1672571,AAQL,OTC,Antiaging Quantum Living Inc.,delisted_or_shrunk,10,2020-08-04,2022-11-14,2020-08-04,2023-06-02
930245,AASP,OTC,Agassi Sports Entertainment Corp.,delisted_or_shrunk,9,2018-04-02,2022-03-08,2018-04-02,2022-09-24
943034,AATC,OTC,AUTOSCOPE TECHNOLOGIES CORP,delisted_or_shrunk,20,2018-03-14,2022-11-16,2018-03-14,2023-06-04
1756390,AAWH,OTC,"Ascend Wellness Holdings, Inc.",delisted_or_shrunk,7,2021-05-26,2022-11-14,2021-05-26,2023-06-02
825313,AB,NYSE,ALLIANCEBERNSTEIN HOLDING L.P.,delisted_or_shrunk,20,2018-02-13,2022-10-28,2018-02-13,2023-05-16
1703057,ABCL,Nasdaq,AbCellera Biologics Inc.,delisted_or_shrunk,8,2021-03-30,2022-11-08,2021-03-30,2023-05-27
20639,ABCP,OTC,AmBase Corp,delisted_or_shrunk,10,2018-03-30,2022-05-05,2018-03-30,2022-11-21
318306,ABEO,Nasdaq,ABEONA THERAPEUTICS INC.,delisted_or_shrunk,16,2018-03-16,2022-11-14,2018-03-16,2023-06-02
1173313,ABVC,Nasdaq,"ABVC BIOPHARMA, INC.",delisted_or_shrunk,19,2018-01-16,2022-11-14,2018-01-16,2023-06-02
1622996,ACBM,OTC,"ACRO BIOMEDICAL CO., LTD.",delisted_or_shrunk,11,2018-02-14,2021-11-22,2018-02-14,2022-06-10
843006,ACCS,NYSE,ACCESS Newswire Inc.,delisted_or_shrunk,20,2018-03-01,2022-11-03,2018-03-01,2023-05-22
1720580,ACET,Nasdaq,"Adicet Bio, Inc.",delisted_or_shrunk,12,2018-03-29,2022-11-08,2018-03-29,2023-05-27
880984,ACFN,Nasdaq,"ACORN ENERGY, INC.",delisted_or_shrunk,20,2018-03-26,2022-11-10,2018-03-26,2023-05-29
75252,ACH,NYSE,ACCENDRA HEALTH INC/VA/,delisted_or_shrunk,20,2018-02-23,2022-11-02,2018-02-23,2023-05-21
949858,ACHV,Nasdaq,"ACHIEVE LIFE SCIENCES, INC.",delisted_or_shrunk,20,2018-03-01,2022-11-14,2018-03-01,2023-06-02
1646972,ACI,NYSE,"Albertsons Companies, Inc.",delisted_or_shrunk,19,2018-05-11,2022-10-19,2018-05-11,2023-05-07
1467373,ACN,NYSE,Accenture plc,delisted_or_shrunk,20,2018-03-22,2022-12-16,2018-03-22,2023-07-04
1332551,ACR,NYSE,ACRES Commercial Realty Corp.,delisted_or_shrunk,20,2018-03-16,2022-11-07,2018-03-16,2023-05-26
1736243,ACXP,Nasdaq,"Acurx Pharmaceuticals, Inc.",delisted_or_shrunk,6,2021-08-13,2022-11-10,2021-08-13,2023-05-29
821130,AD,NYSE,"ARRAY DIGITAL INFRASTRUCTURE, INC.",delisted_or_shrunk,20,2018-02-26,2022-11-03,2018-02-26,2023-05-22
1273685,ADAM,Nasdaq,"ADAMAS TRUST, INC.",delisted_or_shrunk,20,2018-02-27,2022-11-04,2018-02-27,2023-05-23
1513525,ADIL,Nasdaq,"ADIAL PHARMACEUTICALS, INC.",delisted_or_shrunk,9,2018-09-10,2022-03-28,2018-09-10,2022-10-14
849401,ADMT,OTC,"ADM TRONICS UNLIMITED, INC.",delisted_or_shrunk,20,2018-02-14,2022-11-21,2018-02-14,2023-06-09
1744494,ADNH,,"ADVENT TECHNOLOGIES HOLDINGS, INC.",delisted_or_shrunk,9,2019-04-01,2022-11-14,2019-04-01,2023-06-02
1670541,ADNT,NYSE,Adient plc,delisted_or_shrunk,20,2018-01-30,2022-11-22,2018-01-30,2023-06-10
1750106,AEI,Nasdaq,Alset Inc.,delisted_or_shrunk,9,2020-12-29,2022-11-14,2020-12-29,2023-06-02
882291,AEMD,Nasdaq,AETHLON MEDICAL INC,delisted_or_shrunk,20,2018-02-01,2022-11-14,2018-02-01,2023-06-02
1837607,AEON,NYSE,"AEON Biopharma, Inc.",delisted_or_shrunk,5,2021-08-16,2022-11-14,2021-08-16,2023-06-02
1605331,AERA,OTC,AI Era Corp.,delisted_or_shrunk,17,2018-12-10,2022-12-08,2018-12-10,2023-06-26
879911,AERG,OTC,"APPLIED ENERGETICS, INC.",delisted_or_shrunk,10,2020-05-15,2022-11-14,2020-05-15,2023-06-02
764630,AETN,OTC,"AETERNUM HEALTH, INC.",delisted_or_shrunk,13,2018-01-30,2022-06-15,2018-01-30,2023-01-01
1362190,AEYE,Nasdaq,AUDIOEYE INC,delisted_or_shrunk,20,2018-04-02,2022-11-10,2018-04-02,2023-05-29
1823406,AFBI,Nasdaq,"Affinity Bancshares, Inc.",delisted_or_shrunk,8,2021-04-01,2022-11-10,2021-04-01,2023-05-29
1822523,AFCG,Nasdaq,Advanced Flower Capital Inc.,delisted_or_shrunk,5,2021-11-04,2022-11-08,2021-11-04,2023-05-27
1156041,AGIG,NYSE,"ABUNDIA GLOBAL IMPACT GROUP, INC.",delisted_or_shrunk,20,2018-03-30,2022-11-14,2018-03-30,2023-06-02
1423689,AGNC,Nasdaq,AGNC Investment Corp.,delisted_or_shrunk,13,2018-02-26,2022-02-23,2018-02-26,2022-09-11
1273813,AGO,NYSE,ASSURED GUARANTY LTD,delisted_or_shrunk,20,2018-02-23,2022-11-08,2018-02-23,2023-05-27
1446159,AGPU,Nasdaq,Axe Compute Inc.,delisted_or_shrunk,20,2018-04-02,2022-11-10,2018-04-02,2023-05-29
1415311,AGQ,NYSE,ProShares Trust II,delisted_or_shrunk,20,2018-03-01,2022-11-08,2018-03-01,2023-05-27
1267395,AHL-PD,NYSE,ASPEN INSURANCE HOLDINGS LTD,delisted_or_shrunk,6,2018-02-22,2019-05-08,2018-02-22,2019-11-24
1304409,AHNRF,OTC,ATHENA GOLD CORP,delisted_or_shrunk,18,2018-04-02,2022-05-09,2018-04-02,2022-11-25
1338929,AHRO,OTC,"Authentic Holdings, Inc.",delisted_or_shrunk,7,2018-04-02,2022-08-22,2018-04-02,2023-03-10
1708341,AIFA,Nasdaq,"All In FutureTech Alliance, Inc.",delisted_or_shrunk,15,2019-03-18,2022-11-16,2019-03-18,2023-06-04
862861,AIFC,Nasdaq,AI Financial Corp,delisted_or_shrunk,20,2018-06-12,2022-11-14,2018-06-12,2023-06-02
803578,AIFF,Nasdaq,"FIREFLY NEUROSCIENCE, INC.",delisted_or_shrunk,20,2018-04-02,2022-11-21,2018-04-02,2023-06-09
1711012,AIHS,Nasdaq,Senmiao Technology Ltd,delisted_or_shrunk,19,2018-06-29,2022-11-14,2018-06-29,2023-06-02
18654,AILIH,OTC,Ameren Illinois Co,delisted_or_shrunk,20,2018-02-28,2022-11-04,2018-02-28,2023-05-23
946644,AIM,NYSE,AIM ImmunoTech Inc.,delisted_or_shrunk,15,2018-03-30,2022-11-14,2018-03-30,2023-06-02
1014763,AIMD,Nasdaq,"Ainos, Inc.",delisted_or_shrunk,15,2018-05-23,2022-11-14,2018-05-23,2023-06-02
1272842,AIRG,Nasdaq,AIRGAIN INC,delisted_or_shrunk,20,2018-03-15,2022-11-14,2018-03-15,2023-06-02
1009891,AIRI,NYSE,AIR INDUSTRIES GROUP,delisted_or_shrunk,20,2018-04-18,2022-11-14,2018-04-18,2023-06-02
353184,AIRT,Nasdaq,AIR T INC,delisted_or_shrunk,20,2018-02-14,2022-11-10,2018-02-14,2023-05-29
1498148,AITX,OTC,Artificial Intelligence Technology Solutions Inc.,delisted_or_shrunk,21,2018-04-16,2022-10-21,2018-04-16,2023-05-09
922864,AIV,NYSE,APARTMENT INVESTMENT & MANAGEMENT CO,delisted_or_shrunk,20,2018-03-01,2022-11-07,2018-03-01,2023-05-26
1460702,AIXC,Nasdaq,"AIxCrypto Holdings, Inc.",delisted_or_shrunk,14,2018-03-19,2022-11-14,2018-03-19,2023-06-02
835662,AIXN,OTC,"AiXin Life International, Inc.",delisted_or_shrunk,20,2018-06-26,2022-11-14,2018-06-26,2023-06-02
1865107,AKA,NYSE,A.K.A. BRANDS HOLDING CORP.,delisted_or_shrunk,5,2021-11-09,2022-11-10,2021-11-09,2023-05-29
899629,AKR,NYSE,ACADIA REALTY TRUST,delisted_or_shrunk,20,2018-02-27,2022-11-04,2018-02-27,2023-05-23
1341235,ALDX,Nasdaq,"Aldeyra Therapeutics, Inc.",delisted_or_shrunk,20,2018-03-29,2022-11-10,2018-03-29,2023-05-29
1799448,ALGS,Nasdaq,"Aligos Therapeutics, Inc.",delisted_or_shrunk,9,2020-11-25,2022-11-02,2020-11-25,2023-05-21
1579241,ALLE,NYSE,Allegion plc,delisted_or_shrunk,20,2018-02-20,2022-10-27,2018-02-20,2023-05-15
1810182,ALXO,Nasdaq,ALX ONCOLOGY HOLDINGS INC,delisted_or_shrunk,10,2020-08-27,2022-11-08,2020-08-27,2023-05-27
1748790,AMCR,NYSE,Amcor plc,delisted_or_shrunk,14,2019-09-03,2022-11-02,2019-09-03,2023-05-21
1562401,AMH,NYSE,American Homes 4 Rent,delisted_or_shrunk,20,2018-02-23,2022-11-04,2018-02-23,2023-05-23
1518461,AMPG,Nasdaq,"AmpliTech Group, Inc.",delisted_or_shrunk,20,2018-04-02,2022-11-14,2018-04-02,2023-06-02
897448,AMRN,Nasdaq,AMARIN CORP PLC\UK,delisted_or_shrunk,20,2018-02-27,2022-10-27,2018-02-27,2023-05-15
744825,AMS,NYSE,AMERICAN SHARED HOSPITAL SERVICES,delisted_or_shrunk,20,2018-03-28,2022-11-10,2018-03-28,2023-05-29
1807166,AMST,Nasdaq,Amesite Inc.,delisted_or_shrunk,9,2020-11-16,2022-11-10,2020-11-16,2023-05-29
1815974,ANEB,OTC,"Anebulo Pharmaceuticals, Inc.",delisted_or_shrunk,7,2021-06-21,2022-11-10,2021-06-21,2023-05-29
1039828,ANG-PD,NYSE,American National Group Inc.,delisted_or_shrunk,20,2018-02-23,2022-11-08,2018-02-23,2023-05-27
715446,ANIX,Nasdaq,Anixa Biosciences Inc,delisted_or_shrunk,12,2018-01-09,2021-09-01,2018-01-09,2022-03-20
1528115,ANNX,Nasdaq,"Annexon, Inc.",delisted_or_shrunk,10,2020-09-08,2022-11-03,2020-09-08,2023-05-22
1570132,ANVI,OTC,"ANVI GLOBAL HOLDINGS, INC.",delisted_or_shrunk,14,2019-07-15,2022-10-17,2019-07-15,2023-05-05
1477845,ANVS,NYSE,"Annovis Bio, Inc.",delisted_or_shrunk,12,2020-03-25,2022-11-08,2020-03-25,2023-05-27
1766478,AOMR,NYSE,"Angel Oak Mortgage REIT, Inc.",delisted_or_shrunk,6,2021-08-13,2022-11-14,2021-08-13,2023-06-02
315293,AON,NYSE,Aon plc,delisted_or_shrunk,20,2018-02-20,2022-10-28,2018-02-20,2023-05-16
1808997,AOUT,Nasdaq,"American Outdoor Brands, Inc.",delisted_or_shrunk,10,2020-09-10,2022-12-01,2020-09-10,2023-06-19
352991,AOXY,OTC,ADVANCED OXYGEN TECHNOLOGIES INC,delisted_or_shrunk,20,2018-02-05,2022-10-26,2018-02-05,2023-05-14
1841666,APA,Nasdaq,APA Corp,delisted_or_shrunk,7,2021-05-07,2022-11-03,2021-05-07,2023-05-22
1070050,APCX,OTC,AppTech Payments Corp.,delisted_or_shrunk,12,2020-03-30,2022-11-10,2020-03-30,2023-05-29
1781983,APRE,Nasdaq,"Aprea Therapeutics, Inc.",delisted_or_shrunk,13,2019-11-14,2022-11-09,2019-11-14,2023-05-28
884269,APT,NYSE,ALPHA PRO TECH LTD,delisted_or_shrunk,20,2018-03-12,2022-11-08,2018-03-12,2023-05-27
882361,APTOF,,Aptose Biosciences Inc.,delisted_or_shrunk,9,2019-03-12,2022-11-01,2019-03-12,2023-05-20
1521332,APTV,NYSE,Aptiv PLC,delisted_or_shrunk,20,2018-02-05,2022-11-03,2018-02-05,2023-05-22
1671584,APVO,Nasdaq,Aptevo Therapeutics Inc.,delisted_or_shrunk,20,2018-03-13,2022-11-10,2018-03-13,2023-05-29
1603978,AQB,Nasdaq,AQUABOUNTY TECHNOLOGIES INC,delisted_or_shrunk,20,2018-03-08,2022-11-08,2018-03-08,2023-05-27
1621832,AQMS,Nasdaq,"Aqua Metals, Inc.",delisted_or_shrunk,19,2018-05-09,2022-11-03,2018-05-09,2023-05-22
1138723,ARAY,Nasdaq,ACCURAY INC,delisted_or_shrunk,20,2018-02-05,2022-11-03,2018-02-05,2023-05-22
1287750,ARCC,Nasdaq,ARES CAPITAL CORP,delisted_or_shrunk,17,2018-02-13,2022-02-09,2018-02-13,2022-08-28
1648087,AREB,OTC,AMERICAN REBEL HOLDINGS INC,delisted_or_shrunk,20,2018-05-17,2022-11-14,2018-05-17,2023-06-02
1590715,AREC,Nasdaq,American Resources Corp,delisted_or_shrunk,23,2018-02-20,2022-11-14,2018-02-20,2023-06-02
894871,AREN,NYSE,"Arena Group Holdings, Inc.",delisted_or_shrunk,17,2018-05-15,2022-11-09,2018-05-15,2023-05-28
779544,ARKR,Nasdaq,ARK RESTAURANTS CORP,delisted_or_shrunk,20,2018-02-13,2022-12-20,2018-02-13,2023-07-08
1086600,ARLP,Nasdaq,ALLIANCE RESOURCE PARTNERS LP,delisted_or_shrunk,20,2018-02-23,2022-11-07,2018-02-23,2023-05-26
1515156,ARQ,Nasdaq,"Arq, Inc.",delisted_or_shrunk,20,2018-03-12,2022-11-08,2018-03-12,2023-05-27
1530425,ARRT,OTC,"Artisan Consumer Goods, Inc.",delisted_or_shrunk,7,2018-02-21,2021-09-29,2018-02-21,2022-04-17
1621221,ARTL,Nasdaq,"ARTELO BIOSCIENCES, INC.",delisted_or_shrunk,20,2018-01-16,2022-11-08,2018-01-16,2023-05-27
7623,ARTW,Nasdaq,ARTS WAY MANUFACTURING CO INC,delisted_or_shrunk,20,2018-02-07,2022-10-14,2018-02-07,2023-05-02
1651992,ASFT,OTC,"Appsoft Technologies, Inc.",delisted_or_shrunk,5,2018-04-17,2019-12-04,2018-04-17,2020-06-21
1462418,ASPS,Nasdaq,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,delisted_or_shrunk,20,2018-02-22,2022-11-03,2018-02-22,2023-05-22
1487198,ASPU,OTC,"ASPEN GROUP, INC.",delisted_or_shrunk,20,2018-03-15,2022-12-15,2018-03-15,2023-07-03
707605,ASRV,Nasdaq,AMERISERV FINANCIAL INC /PA/,delisted_or_shrunk,20,2018-03-02,2022-11-10,2018-03-02,2023-05-29
1001907,ASTC,Nasdaq,ASTROTECH Corp,delisted_or_shrunk,20,2018-02-12,2022-11-14,2018-02-12,2023-06-02
1350102,ASTI,Nasdaq,"Ascent Solar Technologies, Inc.",delisted_or_shrunk,20,2018-03-29,2022-11-10,2018-03-29,2023-05-29
884144,ASUR,Nasdaq,ASURE SOFTWARE INC,delisted_or_shrunk,20,2018-03-16,2022-11-07,2018-03-16,2023-05-26
1840904,ATAI,Nasdaq,Atai Beckley N.V.,delisted_or_shrunk,6,2021-08-16,2022-11-10,2021-08-16,2023-05-29
1068689,ATDS,OTC,"Data443 Risk Mitigation, Inc.",delisted_or_shrunk,15,2019-05-15,2022-11-14,2019-05-15,2023-06-02
1757715,ATER,Nasdaq,"Aterian, Inc.",delisted_or_shrunk,14,2019-08-01,2022-11-09,2019-08-01,2023-05-28
1527469,ATH-PA,NYSE,Athene Holding Ltd.,delisted_or_shrunk,20,2018-02-26,2022-11-08,2018-02-26,2023-05-27
1540684,ATLX,Nasdaq,Atlas Lithium Corp,delisted_or_shrunk,20,2018-04-17,2022-11-01,2018-04-17,2023-05-20
1388320,ATNM,NYSE,"Actinium Pharmaceuticals, Inc.",delisted_or_shrunk,20,2018-03-16,2022-11-14,2018-03-16,2023-06-02
1488039,ATOS,Nasdaq,"ATOSSA THERAPEUTICS, INC.",delisted_or_shrunk,17,2018-03-08,2022-11-07,2018-03-08,2023-05-26
1713210,ATPC,Nasdaq,Agape ATP Corp,delisted_or_shrunk,18,2018-05-15,2022-11-14,2018-05-15,2023-06-02
1604464,ATRA,Nasdaq,"Atara Biotherapeutics, Inc.",delisted_or_shrunk,20,2018-02-27,2022-11-08,2018-02-27,2023-05-27
1650101,ATXG,Nasdaq,ADDENTAX GROUP CORP.,delisted_or_shrunk,20,2018-04-16,2022-11-14,2018-04-16,2023-06-02
1339970,ATYR,Nasdaq,aTYR PHARMA INC,delisted_or_shrunk,20,2018-03-20,2022-11-14,2018-03-20,2023-06-02
750574,AUBN,Nasdaq,"AUBURN NATIONAL BANCORPORATION, INC",delisted_or_shrunk,20,2018-03-13,2022-11-09,2018-03-13,2023-05-28
1534154,AUID,Nasdaq,authID Inc.,delisted_or_shrunk,20,2018-03-15,2022-11-10,2018-03-15,2023-05-29
1011509,AUMN,OTC,Golden Minerals Co,delisted_or_shrunk,17,2018-03-02,2022-11-10,2018-03-02,2023-05-29
1091596,AURX,OTC,"Nuo Therapeutics, Inc.",delisted_or_shrunk,12,2018-04-16,2022-11-04,2018-04-16,2023-05-23
826253,AUSI,OTC,AURA SYSTEMS INC,delisted_or_shrunk,18,2018-06-13,2022-10-07,2018-06-13,2023-04-25
1554818,AUUD,Nasdaq,AUDDIA INC.,delisted_or_shrunk,8,2021-03-31,2022-11-14,2021-03-31,2023-06-02
5981,AVD,NYSE,AMERICAN VANGUARD CORP,delisted_or_shrunk,20,2018-03-14,2022-11-08,2018-03-14,2023-05-27
1593899,AVIR,Nasdaq,"Atea Pharmaceuticals, Inc.",delisted_or_shrunk,9,2020-12-10,2022-11-07,2020-12-10,2023-05-26
1606498,AVNS,NYSE,"AVANOS MEDICAL, INC.",delisted_or_shrunk,20,2018-02-27,2022-11-02,2018-02-27,2023-05-21
1534120,AVTX,Nasdaq,"Avalo Therapeutics, Inc.",delisted_or_shrunk,20,2018-04-02,2022-11-07,2018-04-02,2023-05-26
1826397,AVX,Nasdaq,AVAX ONE TECHNOLOGY LTD.,delisted_or_shrunk,5,2021-08-03,2022-11-10,2021-08-03,2023-05-29
926617,AWHL,OTC,Aspira Women's Health Inc.,delisted_or_shrunk,20,2018-03-13,2022-11-10,2018-03-13,2023-05-29
1015739,AWRE,Nasdaq,AWARE INC /MA/,delisted_or_shrunk,20,2018-02-28,2022-10-28,2018-02-28,2023-05-16
1061069,AWX,NYSE,AVALON HOLDINGS CORP,delisted_or_shrunk,17,2018-05-10,2022-11-10,2018-05-10,2023-05-29
1718500,AXIL,NYSE,"Axil Brands, Inc.",delisted_or_shrunk,20,2018-01-12,2022-10-12,2018-01-12,2023-04-30
1514946,AXIM,OTC,"AXIM BIOTECHNOLOGIES, INC.",delisted_or_shrunk,6,2020-05-14,2022-11-14,2020-05-14,2023-06-02
6207,AXR,NYSE,AMREP CORP.,delisted_or_shrunk,18,2018-03-19,2022-12-12,2018-03-19,2023-06-30
1362988,AYR,,Aircastle LTD,delisted_or_shrunk,19,2018-02-13,2022-10-12,2018-02-13,2023-04-30
1385818,AYTU,Nasdaq,"AYTU BIOPHARMA, INC",delisted_or_shrunk,20,2018-02-08,2022-11-14,2018-02-08,2023-06-02
1563568,AZIO,Nasdaq,"AZIO AI HOLDINGS, INC.",delisted_or_shrunk,11,2018-03-12,2022-11-14,2018-03-12,2023-06-02
1123596,BABB,OTC,"BAB, INC.",delisted_or_shrunk,20,2018-02-26,2022-10-13,2018-02-26,2023-05-01
1729944,BACK,OTC,"IMAC Holdings, Inc.",delisted_or_shrunk,16,2019-04-16,2022-11-14,2019-04-16,2023-06-02
1747079,BALY,NYSE,Bally's Corp,delisted_or_shrunk,16,2019-04-01,2022-11-09,2019-04-01,2023-05-28
1819574,BARK,NYSE,"Bark, Inc.",delisted_or_shrunk,7,2021-06-07,2022-11-09,2021-06-07,2023-05-28
1448705,BASA,OTC,"BASANITE, INC.",delisted_or_shrunk,16,2018-04-11,2022-11-21,2018-04-11,2023-06-09
1282648,BATL,NYSE,BATTALION OIL CORP,delisted_or_shrunk,20,2018-03-01,2022-11-14,2018-03-01,2023-06-02
1379785,BBDC,NYSE,"Barings BDC, Inc.",delisted_or_shrunk,10,2018-02-28,2022-02-23,2018-02-28,2022-09-11
1099160,BBGI,Nasdaq,BEASLEY BROADCAST GROUP INC,delisted_or_shrunk,20,2018-02-20,2022-11-07,2018-02-20,2023-05-26
1419554,BBLG,Nasdaq,Bone Biologics Corp,delisted_or_shrunk,8,2018-04-02,2022-03-15,2018-04-02,2022-10-01
1826892,BCAB,Nasdaq,"BioAtla, Inc.",delisted_or_shrunk,7,2021-03-24,2022-11-04,2021-03-24,2023-05-23
925741,BCDA,Nasdaq,"BioCardia, Inc.",delisted_or_shrunk,20,2018-03-16,2022-11-09,2018-03-16,2023-05-28
728385,BCHT,NYSE,Birchtech Corp.,delisted_or_shrunk,20,2018-04-17,2022-11-14,2018-04-17,2023-06-02
1372807,BCIC,Nasdaq,BCP Investment Corp,delisted_or_shrunk,5,2018-03-07,2022-03-10,2018-03-07,2022-09-26
1137883,BCLI,OTC,BRAINSTORM CELL THERAPEUTICS INC.,delisted_or_shrunk,7,2018-03-08,2022-11-14,2018-03-08,2023-06-02
1847360,BCOW,OTC,"1895 Bancorp of Wisconsin, Inc. /MD/",delisted_or_shrunk,6,2021-08-13,2022-11-10,2021-08-13,2023-05-29
1496690,BCRD,OTC,"BlueOne Technologies, Inc.",delisted_or_shrunk,7,2021-06-21,2022-11-21,2021-06-21,2023-06-09
1655050,BCSF,NYSE,"Bain Capital Specialty Finance, Inc.",delisted_or_shrunk,18,2018-03-16,2022-11-09,2018-03-16,2023-05-28
1761612,BCYC,Nasdaq,BICYCLE THERAPEUTICS PLC,delisted_or_shrunk,14,2019-08-08,2022-11-03,2019-08-08,2023-05-22
793306,BDCO,OTC,BLUE DOLPHIN ENERGY CO,delisted_or_shrunk,20,2018-04-02,2022-11-14,2018-04-02,2023-06-02
790816,BDN,NYSE,BRANDYWINE REALTY TRUST,delisted_or_shrunk,20,2018-02-23,2022-10-28,2018-02-23,2023-05-16
1575142,BDPT,OTC,"BIOADAPTIVES, INC.",delisted_or_shrunk,13,2019-08-14,2022-11-14,2019-08-14,2023-06-02
1610940,BDRY,NYSE,Amplify Commodity Trust,delisted_or_shrunk,20,2018-02-13,2022-11-14,2018-02-13,2023-06-02
1701541,BDTX,Nasdaq,"Black Diamond Therapeutics, Inc.",delisted_or_shrunk,8,2020-03-24,2022-05-11,2020-03-24,2022-11-27
1398805,BEEM,Nasdaq,Beam Global,delisted_or_shrunk,20,2018-04-02,2022-11-10,2018-04-02,2023-05-29
1483646,BEGI,OTC,"BLACKSTAR ENTERPRISE GROUP, INC.",delisted_or_shrunk,18,2018-03-29,2022-11-21,2018-03-29,2023-06-09
1066764,BESS,NYSE,Bimergen Energy Corp,delisted_or_shrunk,17,2018-03-29,2022-11-10,2018-03-29,2023-05-29
1101215,BFH,NYSE,"BREAD FINANCIAL HOLDINGS, INC.",delisted_or_shrunk,20,2018-02-27,2022-11-04,2018-02-27,2023-05-23
1310488,BFNH,OTC,"BIOFORCE NANOSCIENCES HOLDINGS, INC.",delisted_or_shrunk,19,2018-04-13,2022-11-02,2018-04-13,2023-05-21
1858685,BFRI,Nasdaq,Biofrontera Inc.,delisted_or_shrunk,5,2021-11-30,2022-11-14,2021-11-30,2023-06-02
1737523,BGLC,Nasdaq,BioNexus Gene Lab Corp,delisted_or_shrunk,15,2019-05-15,2022-11-14,2019-05-15,2023-06-02
1130166,BGMS,Nasdaq,"Bio Green Med Solution, Inc.",delisted_or_shrunk,16,2018-03-30,2022-11-10,2018-03-30,2023-05-29
1474903,BGSF,NYSE,"BGSF, INC.",delisted_or_shrunk,18,2018-03-08,2022-11-03,2018-03-08,2023-05-22
1407583,BHLL,OTC,Bunker Hill Mining Corp.,delisted_or_shrunk,19,2018-02-21,2022-11-04,2018-02-21,2023-05-23
1443863,BICX,OTC,BioCorRx Inc.,delisted_or_shrunk,20,2018-04-05,2022-11-14,2018-04-05,2023-06-02
1499961,BINI,OTC,"BOLLINGER INNOVATIONS, INC.",delisted_or_shrunk,18,2018-04-02,2022-05-16,2018-04-02,2022-12-02
1723059,BIOE,OTC,Bio Essence Corp,delisted_or_shrunk,8,2021-04-14,2022-11-14,2021-04-14,2023-06-02
1549145,BIOF,OTC,"BLUE BIOFUELS, INC.",delisted_or_shrunk,8,2018-04-18,2022-11-07,2018-04-18,2023-05-26
1653909,BIRD,Nasdaq,"Smartbird, Inc.",delisted_or_shrunk,5,2021-12-07,2022-11-09,2021-12-07,2023-05-28
1580149,BIVI,Nasdaq,BIOVIE INC.,delisted_or_shrunk,12,2018-11-14,2022-05-11,2018-11-14,2022-11-27
1820302,BKKT,NYSE,"Bakkt, Inc.",delisted_or_shrunk,5,2021-03-31,2022-11-10,2021-03-31,2023-05-29
1007273,BKSC,OTC,BANK OF SOUTH CAROLINA CORP,delisted_or_shrunk,20,2018-03-05,2022-11-04,2018-03-05,2023-05-23
1019034,BKYI,Nasdaq,BIO KEY INTERNATIONAL INC,delisted_or_shrunk,20,2018-04-02,2022-11-14,2018-04-02,2023-06-02
880242,BLGO,OTC,"BIOLARGO, INC.",delisted_or_shrunk,20,2018-03-16,2022-11-14,2018-03-16,2023-06-02
1378590,BLIN,Nasdaq,"Bridgeline Digital, Inc.",delisted_or_shrunk,20,2018-02-14,2022-12-21,2018-02-14,2023-07-09
1632121,BLNC,OTC,"Balance Labs, Inc.",delisted_or_shrunk,18,2018-04-12,2022-11-21,2018-04-12,2023-06-09
1534708,BLNE,Nasdaq,"Beeline Holdings, Inc.",delisted_or_shrunk,20,2018-04-02,2022-11-14,2018-04-02,2023-06-02
1429764,BLNK,Nasdaq,Blink Charging Co.,delisted_or_shrunk,20,2018-04-17,2022-11-09,2018-04-17,2023-05-28
1487718,BLTH,OTC,"AMERICAN BATTERY MATERIALS, INC.",delisted_or_shrunk,17,2018-09-04,2022-08-17,2018-09-04,2023-03-05
1275477,BMNM,OTC,"BIMINI CAPITAL MANAGEMENT, INC.",delisted_or_shrunk,17,2018-03-09,2022-11-14,2018-03-09,2023-06-02
73290,BMRA,Nasdaq,BIOMERICA INC,delisted_or_shrunk,18,2018-01-16,2022-10-13,2018-01-16,2023-05-01
1403475,BMRC,Nasdaq,Bank of Marin Bancorp,delisted_or_shrunk,20,2018-03-15,2022-11-08,2018-03-15,2023-05-27
1568385,BMTM,OTC,"Bright Mountain Media, Inc.",delisted_or_shrunk,20,2018-04-02,2022-11-14,2018-04-02,2023-06-02
744452,BNBX,OTC,BNB PLUS CORP.,delisted_or_shrunk,20,2018-02-08,2022-12-14,2018-02-08,2023-07-02
1482541,BNC,Nasdaq,CEA Industries Inc.,delisted_or_shrunk,20,2018-04-02,2022-11-14,2018-04-02,2023-06-02
875729,BNET,OTC,BION ENVIRONMENTAL TECHNOLOGIES INC,delisted_or_shrunk,20,2018-02-09,2022-11-14,2018-02-09,2023-06-02
1411690,BNGO,Nasdaq,"Bionano Genomics, Inc.",delisted_or_shrunk,17,2018-11-07,2022-11-03,2018-11-07,2023-05-22
1472494,BNO,NYSE,"United States Brent Oil Fund, LP",delisted_or_shrunk,5,2018-03-14,2022-02-25,2018-03-14,2022-09-13
1808898,BNTC,Nasdaq,Benitec Biopharma Inc.,delisted_or_shrunk,6,2020-09-23,2022-09-02,2020-09-23,2023-03-21
