ticker,name,sector,score,mcap,ret
MSB,MESABI TRUST,Financials,98.6,0.28318229584,75.16679021497406
MA,MASTERCARD INC,Financials,97.9,63.84264163994799,9.031045839442964
EGY,VAALCO ENERGY INC,Energy,97.0,0.409370521198,-10.795742524075013
BKNG,BOOKING HOLDINGS INC,Industrials,96.6,6.49787766329,8.582488667040188
IMMR,IMMERSION CORP,Technology,94.8,0.25949666819999995,-18.28358208955223
SIGA,SIGA TECHNOLOGIES INC,Healthcare,94.6,0.343170839214,12.255513940907182
WLKP,WESTLAKE CHEMICAL PARTNERS LP,Materials,94.2,0.7015291728480001,-10.508338356439628
POWL,POWELL INDUSTRIES INC,Industrials,94.1,0.8824545443999999,44.53387810691181
GES,GUESS INC,Consumer Disc,93.1,0.72348318446,19.13229018492175
WFRD,WEATHERFORD INTERNATIONAL PLC,Industrials,93.1,5.071763188764,11.187669211706242
TRN,TRINITY INDUSTRIES INC,Industrials,92.4,2.687881592418,-21.48927064865195
ATH-PA,ATHENE HOLDING LTD,Financials,92.1,4.506749517816,7.638040971374305
CMCSA,COMCAST CORP,Communication Svcs,90.5,67.423293974641,-17.349530308130102
SM,SM ENERGY CO,Energy,90.4,4.190688794538,-49.713318407688526
ACGL,ARCH CAPITAL GROUP LTD,Financials,90.3,34.74593752565,3.8657282079047173
THC,TENET HEALTHCARE CORP,Healthcare,90.3,12.00409431,57.426919115899544
HEES,H&E EQUIPMENT SERVICES INC,Industrials,90.2,1.787565170528,
CWCO,CONSOLIDATED WATER CO LTD,Utilities,90.1,0.39769343815499997,38.70197093370498
MCY,MERCURY GENERAL CORP,Financials,90.0,3.5903192458069997,44.077050014651256
AXR,AMREP CORP,Real Estate,90.0,0.1660258986,-40.12738853503184
ANET,ARISTA NETWORKS INC,Technology,89.8,34.810305267989996,18.547000814258574
IESC,IES HOLDINGS INC,Industrials,89.2,2.0067534016,93.58081210191081
MLI,MUELLER INDUSTRIES INC,Materials,89.1,4.437147417287,46.27688206495271
NXT,NEXTPOWER INC,Technology,88.8,4.98789471219,138.46153846153845
SNEX,STONEX GROUP INC,Financials,88.4,0.9268537060319999,45.6524734738873
PPC,PILGRIMS PRIDE CORP,Consumer Staples,88.3,9.172631368663,0.7936302768658088
UIS,UNISYS CORP,Technology,87.9,0.43906593531,-56.39810426540285
AMR,ALPHA METALLURGICAL RESOURCES INC,Energy,87.7,2.6047639212000004,-0.11992804317410011
DCGO,DOCGO INC,Healthcare,86.9,0.4326941624,-79.2924528301887
COLL,COLLEGIUM PHARMACEUTICAL INC,Healthcare,86.8,0.9239692614,61.60558464223384
AMPH,AMPHASTAR PHARMACEUTICALS INC,Healthcare,86.4,1.78526360729,-27.875033665499593
GM,GENERAL MOTORS CO,Consumer Disc,86.0,57.71448685408,54.224855678548955
USNA,USANA HEALTH SCIENCES INC,Healthcare,85.7,0.68404803908,-45.30509891334634
IBKR,INTERACTIVE BROKERS GROUP INC,Financials,85.6,1.8497040821489998,46.37777118199045
V,VISA INC,Financials,85.5,146.396382189478,11.756673152561703
SEE,SEALED AIR CORP,Materials,85.4,4.789930612896,25.41594427715421
CPRX,CATALYST PHARMACEUTICALS INC,Healthcare,85.1,2.4892366093200002,11.835170100622893
FOR,FORESTAR GROUP INC,Real Estate,85.0,1.3133650003200001,-4.97685185185186
PLAB,PHOTRONICS INC,Technology,85.0,1.49218174128,35.82342954159594
SO,SOUTHERN CO,Utilities,84.9,85.20368888934001,9.444080089502705
TOL,TOLL BROTHERS INC,Industrials,84.9,12.426195992,8.282346879629031
BELFA,BEL FUSE INC,Technology,84.8,0.195200526912,68.98753217234348
UTHR,UNITED THERAPEUTICS CORP,Healthcare,84.7,15.75237208396,38.09375354268225
HEI,HEICO CORP,Industrials,84.6,6.3867229613520005,36.22499705104225
SPG,SIMON PROPERTY GROUP INC,Real Estate,84.1,45.419128639101,12.955258512609081
ACLS,AXCELIS TECHNOLOGIES INC,Technology,84.0,2.2712019755700004,14.984972091026183
CNMD,CONMED CORP,Healthcare,83.8,2.091094512129,-40.023340670379504
BERY,BERRY GLOBAL GROUP INC,Materials,83.5,7.4179584,
ALX,ALEXANDERS INC,Real Estate,83.4,0.89005764288,18.38906995960339
SEM,SELECT MEDICAL HOLDINGS CORP,Healthcare,83.4,2.379731695473,-19.852021108753604
VHI,VALHI INC,Materials,83.3,0.638132466529,-47.399459052010826
DVA,DAVITA INC,Healthcare,83.3,12.2631,-24.03209628886661
OMC,OMNICOM GROUP INC,Communication Svcs,82.6,15.845656025332001,-2.6163184398123596
NFLX,NETFLIX INC,Communication Svcs,82.6,38.100196617048006,5.192299062065242
UPBD,UPBOUND GROUP INC,Industrials,82.5,1.4259092249360001,-35.441921129354
VICI,VICI PROPERTIES INC,Real Estate,82.2,28.162262283675,1.8491484184914864
LNTH,LANTHEUS HOLDINGS INC,Healthcare,82.1,6.21987119586,-25.609210820478424
IBEX,IBEX LTD,Technology,82.0,0.36027572391999996,77.66402978129364
CRUS,CIRRUS LOGIC INC,Technology,81.8,5.29167253654,18.99979915645713
UTMD,UTAH MEDICAL PRODUCTS INC,Healthcare,81.3,0.20220499278,-7.027960884952778
VIRC,VIRCO MFG CORPORATION,Consumer Disc,81.3,0.16348047861599999,-36.857313670785175
REI,RING ENERGY INC,Energy,81.2,0.26954660624,-36.029411764705884
HRTG,HERITAGE INSURANCE HOLDINGS INC,Financials,81.0,0.3712787958,141.81818181818184
LNWO,LIGHT & WONDER INC,Technology,81.0,7.62803519268,
DTE,DTE ENERGY CO,Utilities,81.0,23.816360289413996,10.413134027252413
MPC,MARATHON PETROLEUM CORP,Energy,80.9,43.344121011480006,19.19326734141549
HDSN,HUDSON TECHNOLOGIES INC,Industrials,80.9,0.25220766906000003,22.75985663082436
PAGP,PLAINS GP HOLDINGS LP,Industrials,80.7,3.177025631211,12.791348126048852
HRMY,HARMONY BIOSCIENCES HOLDINGS INC,Healthcare,80.7,1.9624469297699998,8.747457134553915
FF,FUTUREFUEL CORP,Materials,80.6,0.213958495027,-35.77418695029658
GIS,GENERAL MILLS INC,Consumer Staples,80.6,32.061814425,-23.744928134241107
FBRT-PE,FRANKLIN BSP REALTY TRUST INC,Real Estate,80.6,1.4468694610229997,14.966909893093504
TRTN-PA,TRITON INTERNATIONAL LTD,Industrials,80.6,2.2787051786659998,9.140548699280826
GAP,GAP INC,Consumer Disc,80.6,8.458843544099999,11.591618368256796
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES INC,Real Estate,80.6,1.530542282326,-18.044500388730512
LYB,LYONDELLBASELL INDUSTRIES NV,Materials,80.5,21.248838667170002,-35.9452850374446
LEA,LEAR CORP,Consumer Disc,80.3,4.903322016032,24.800514229984927
PII,POLARIS INC,Industrials,79.8,2.9441703296279997,15.985679377166573
BFS,SAUL CENTERS INC,Real Estate,79.8,0.82944551596,-12.792866301433747
PIPR,PIPER SANDLER COMPANIES,Financials,79.8,1.275004794816,15.613844265952693
PRG,PROG HOLDINGS INC,Industrials,79.8,1.702614951504,-28.93812219402694
OTTR,OTTER TAIL CORP,Utilities,79.6,2.951465007454,12.336668461778299
HST,HOST HOTELS & RESORTS INC,Real Estate,79.6,11.009012036226,7.251254047876032
AOS,SMITH A O CORP,Consumer Disc,79.5,4.978406842556,0.05780610615027104
CME,CME GROUP INC,Financials,79.5,14.751757027799,19.830768049224545
OUT,OUTFRONT MEDIA INC,Real Estate,79.5,2.773954305224,41.35351842987076
LTC,LTC PROPERTIES INC,Real Estate,79.5,1.40874096825,6.165461847389553
HCC,WARRIOR MET COAL INC,Materials,79.4,2.813994294669,63.467365642369835
LKQ,LKQ CORP,Industrials,79.3,8.936382072415999,-14.966837328368621
ANF,ABERCROMBIE & FITCH CO,Consumer Disc,79.3,7.52920582483,-15.789121562855424
NATR,NATURES SUNSHINE PRODUCTS INC,Healthcare,79.3,0.27085184154,47.203274215552504
RHP,RYMAN HOSPITALITY PROPERTIES INC,Real Estate,79.2,5.817901039125,-4.719691119691127
LOGI,LOGITECH INTERNATIONAL SA,Technology,79.1,12.307501643444999,23.431245766364928
KEQU,KEWAUNEE SCIENTIFIC CORP,Industrials,79.1,0.17767876096,-39.534507839017294
ALKS,ALKERMES PLC,Healthcare,79.0,4.65344013008,-2.712100139082063
VZ,VERIZON COMMUNICATIONS INC,Communication Svcs,79.0,149.95109736367002,8.865556834451581
FC,FRANKLIN COVEY CO,Industrials,79.0,0.49546490418,-55.34858967535923
RNR,RENAISSANCERE HOLDINGS LTD,Financials,78.9,12.80496486597,13.7295464317295
DHIL,DIAMOND HILL INVESTMENT GROUP INC,Financials,78.9,0.39153273209600004,17.85893085609389
GMS,GMS INC,Industrials,78.8,3.2927150476500002,
PAA,PLAINS ALL AMERICAN PIPELINE LP,Industrials,78.8,10.430486461557,14.470754907913363
SGRY,SURGERY PARTNERS INC,Healthcare,78.7,2.69099309138,-27.01936702881437
AXTA,AXALTA COATING SYSTEMS LTD,Materials,78.6,7.46212420968,-5.581531268264161
PRU,PRUDENTIAL FINANCIAL INC,Financials,78.6,38.60464,0.15308004426410893
HSII,HEIDRICK & STRUGGLES INTERNATIONAL INC,Industrials,78.6,0.892945899768,
BLBD,BLUE BIRD CORP,Consumer Disc,78.5,1.2465136898600002,21.66709811027698
RSG,REPUBLIC SERVICES INC,Utilities,78.3,61.805577763332,6.455519187702019
ESGR,ENSTAR GROUP LTD,Financials,78.3,4.9054688205,
CSTL,CASTLE BIOSCIENCES INC,Healthcare,78.2,0.74639457165,45.96622889305817
HAL,HALLIBURTON CO,Energy,78.0,22.87970569734,7.045768699124566
FE,FIRSTENERGY CORP,Utilities,78.0,21.36983450832,17.23031283710896
LDOS,LEIDOS HOLDINGS INC,Technology,77.8,18.908405577063,26.503983571736043
RLI,RLI CORP,Financials,77.4,3.592906970526,-19.132519671984806
ORLY,O REILLY AUTOMOTIVE INC,Consumer Disc,77.4,4.563784473729,15.37829051395898
CAL,CALERES INC,Consumer Disc,77.2,0.7556113042020001,-46.43731363211536
JILL,JJILL INC,Consumer Disc,77.2,0.40989490015999996,-49.33383233532934
TH,TARGET HOSPITALITY CORP,Consumer Disc,77.1,0.9562663113999998,-17.123642007242623
PGNY,PROGYNY INC,Healthcare,77.0,1.46889385575,48.8695652173913
UVE,UNIVERSAL INSURANCE HOLDINGS INC,Financials,77.0,0.571127249739,65.36575702045468
