ticker,name,sector,score,mcap,ret
X,UNITED STATES STEEL CORP,Materials,97.9,6.291829420929,6.120345316325193
QURE,UNIQURE NV,Healthcare,97.3,0.9584834205599999,9.305689488910328
RILY,BRC GROUP HOLDINGS INC,Financials,95.7,1.935465329259,-58.42912696038631
BCC,BOISE CASCADE CO,Industrials,94.6,2.2702528416540004,1.6059734589931152
RGR,STURM RUGER & CO INC,Industrials,94.2,0.9864302027999999,-15.553533839951484
KLIC,KULICKE & SOFFA INDUSTRIES INC,Technology,93.3,3.51368613947,-25.78077811334163
RFP,RESOLUTE FOREST PRODUCTS INC,Materials,93.2,1.18591364352,41.38834315651605
LPX,LOUISIANA-PACIFIC CORP,Materials,93.1,6.455324870129999,-23.365364956041702
SWBI,SMITH & WESSON BRANDS INC,Industrials,93.1,0.716934480065,-49.54530144829909
HCCI,HERITAGE-CRYSTAL CLEAN INC,Utilities,93.0,0.7745150015200001,1.4366021236726922
HOUS,ANYWHERE REAL ESTATE INC,Real Estate,92.7,1.95984775967,-61.98691255205235
SEM,SELECT MEDICAL HOLDINGS CORP,Healthcare,92.2,1.9624071025969998,-13.849203636612206
HSII,HEIDRICK & STRUGGLES INTERNATIONAL INC,Industrials,92.2,0.799236343965,-34.83760264738326
SIG,SIGNET JEWELERS LTD,Consumer Disc,92.1,4.2981146626090005,-20.98632417938955
AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,Industrials,92.0,2.73214274892,7.097322566935826
NAVI,NAVIENT CORP,Financials,92.0,2.786025622392,-19.362489876200396
VHI,VALHI INC,Materials,91.8,0.747109074153,-22.67135990310737
COWN,COWEN INC,Financials,91.8,0.9676542536500001,8.572556539394283
ANET,ARISTA NETWORKS INC,Technology,91.7,2.76078932451,-15.585174467137852
MA,MASTERCARD INC,Financials,91.5,42.803839911269,-2.655632304992672
DCH,DAUCH CORP,Consumer Disc,91.3,1.06418671353,-16.184351554126476
THC,TENET HEALTHCARE CORP,Healthcare,91.1,8.75111330058,-40.274207369323044
DECK,DECKERS OUTDOOR CORP,Consumer Disc,91.1,1.67576262224,8.967765183777775
CRSP,CRISPR THERAPEUTICS AG,Healthcare,90.7,5.79921333192,-46.35787806809185
UHAL,U-HAUL HOLDING CO,Industrials,90.6,1.4213097287559997,-16.964421206561177
FLGT,FULGENT GENETICS INC,Healthcare,90.5,3.0007456560900003,-70.39467143851277
LYB,LYONDELLBASELL INDUSTRIES NV,Materials,90.5,22.0219774942,-0.8462410275783983
BKE,BUCKLE INC,Consumer Disc,90.4,1.4378933934229998,10.864522383408936
PIPR,PIPER SANDLER COMPANIES,Financials,90.1,0.6967311373449999,-23.35326268250749
WSM,WILLIAMS SONOMA INC,Consumer Disc,89.8,5.634423411408,-30.479593950694017
NVDA,NVIDIA CORP,Technology,89.6,73.3,-50.26603001364256
BOC,BOSTON OMAHA CORP,Real Estate,89.4,0.8215042409600001,-7.761921336581967
VSH,VISHAY INTERTECHNOLOGY INC,Technology,88.9,2.6223461058639996,0.6701340268053579
APH,AMPHENOL CORP,Technology,88.8,12.552603144179999,-11.953311100524044
GSKY,GREENSKY INC,Technology,88.4,0.7114510128,
SAFM,SANDERSON FARMS INC,Consumer Staples,88.3,4.244623886208,
OHI,OMEGA HEALTHCARE INVESTORS INC,Real Estate,87.9,4.868858761627999,3.6173554530283702
COLL,COLLEGIUM PHARMACEUTICAL INC,Healthcare,87.9,0.64574348412,24.19700214132763
MLI,MUELLER INDUSTRIES INC,Materials,87.8,0.8002655905499999,1.0179211469534044
AGX,ARGAN INC,Industrials,87.7,0.5589106206700001,-1.9625485013777255
MNST,MONSTER BEVERAGE CORP,Consumer Staples,87.7,12.70463015115,5.7184506455643325
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Disc,87.4,0.9837544707900001,-20.63492063492064
TROX,TRONOX HOLDINGS PLC,Materials,87.4,3.0431843146979998,-41.161897057336425
PCH,POTLATCHDELTIC CORP,Real Estate,87.3,3.376440425214,-22.653470855939105
FOR,FORESTAR GROUP INC,Real Estate,87.1,1.07854746075,-29.149425287356323
SHOE,SHOE STATION GROUP INC,Consumer Disc,87.1,0.994290467446,-37.99501444677355
LOGI,LOGITECH INTERNATIONAL SA,Technology,86.9,12.9278359206,-22.866062984985682
DTE,DTE ENERGY CO,Utilities,86.9,19.949453906606,1.265331093350941
TPH,TRI POINTE HOMES INC,Industrials,86.4,3.0996482189299996,-33.34528504840445
REGN,REGENERON PHARMACEUTICALS INC,Healthcare,86.4,58.789403518979995,14.246673421573309
ALX,ALEXANDERS INC,Real Estate,86.3,0.90821916612,-9.141417549542252
MMI,MARCUS & MILLICHAP INC,Real Estate,86.2,1.8568463476800001,-30.751976073488574
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financials,86.2,5.537823543892,6.713604612484736
IBKR,INTERACTIVE BROKERS GROUP INC,Financials,86.1,0.8175203000579999,-8.353135654509769
UPBD,UPBOUND GROUP INC,Industrials,86.0,2.420203588896,-49.937144731088765
GPI,GROUP 1 AUTOMOTIVE INC,Consumer Disc,85.9,3.424950880267,-6.848221882811812
MRNA,MODERNA INC,Healthcare,85.8,102.97607086746,-29.277895897314743
EXLS,EXLSERVICE HOLDINGS INC,Technology,85.8,0.9642525140479999,17.033915866546945
ETD,ETHAN ALLEN INTERIORS INC,Consumer Disc,85.4,0.42176682109200003,7.510331197221065
UCTT,ULTRA CLEAN HOLDINGS INC,Technology,85.3,2.575464,-42.2071129707113
OMC,OMNICOM GROUP INC,Communication Svcs,85.3,13.284907625,15.713599999999994
EBIXQ,EBIX INC,Technology,85.3,0.9294480772429999,-33.54862336451709
CMCSA,COMCAST CORP,Communication Svcs,85.2,83.10058692508001,-28.68669314796425
TOL,TOLL BROTHERS INC,Industrials,85.2,8.28871176,-29.971248511602244
HZO,MARINEMAX INC,Consumer Disc,84.9,1.29090452256,-47.12059620596206
LAZ,LAZARD INC,Financials,84.4,3.890655671682,-16.14399165265783
NRG,NRG ENERGY INC,Utilities,84.4,9.329821635006,-23.46612082086811
BERY,BERRY GLOBAL GROUP INC,Materials,84.0,8.8093896,-17.74466644090754
ALEC,ALECTOR INC,Healthcare,83.8,1.67835140305,-55.30266343825665
NGVT,INGEVITY CORP,Materials,83.7,2.8168204683,-1.7573221757322233
DVA,DAVITA INC,Healthcare,83.6,11.592144,-34.36181434599156
CAH,CARDINAL HEALTH INC,Consumer Staples,83.5,13.260661586118,54.129922012792456
DHIL,DIAMOND HILL INVESTMENT GROUP INC,Financials,83.2,0.50263119343,0.5376276234587474
UGI,UGI CORP,Utilities,82.8,7.73659983771,-16.18529936719131
ETRN,EQUITRANS MIDSTREAM CORP,Energy,82.4,3.726428616,-30.246053853296196
FE,FIRSTENERGY CORP,Utilities,82.0,18.660526860844,4.8284513945617835
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials,82.0,12.367741012179,-24.666988750086272
