ticker,name,sector,score,mcap,ret
NHTC,NATURAL HEALTH TRENDS CORP,Unclassified,99.7,0.12420642570399999,-24.221521482065423
AGX,ARGAN INC,Industrials,96.9,0.374561086347,121.71159403079601
ENTA,ENANTA PHARMACEUTICALS INC,Healthcare,94.4,0.6206132444200001,1.4536644457904258
TRN,TRINITY INDUSTRIES INC,Industrials,94.0,1.936370509688,18.029681086201464
NSP,INSPERITY INC,Industrials,93.5,0.432688927152,49.55347049513905
UVE,UNIVERSAL INSURANCE HOLDINGS INC,Financials,91.5,0.5568595641180001,26.49277585986447
USNA,USANA HEALTH SCIENCES INC,Healthcare,91.4,0.815655070125,-4.187866927592953
LRCX,LAM RESEARCH CORP,Technology,91.2,1.0919578467420001,35.1610095735422
ISRG,INTUITIVE SURGICAL INC,Healthcare,90.5,2.26747040364,16.114626590204995
BKE,BUCKLE INC,Consumer Disc,89.5,0.50042227416,-20.15879163439194
HRTG,HERITAGE INSURANCE HOLDINGS INC,Financials,89.3,0.57224282195,-27.007144747287636
CVI,CVR ENERGY INC,Energy,89.3,1.4384431743,-27.218399130749727
MCHP,MICROCHIP TECHNOLOGY INC,Technology,89.0,3.829871588715,41.6706443914081
WU,WESTERN UNION CO,Technology,88.9,4.936090176921001,25.263588903674883
DCH,DAUCH CORP,Consumer Disc,88.7,1.4403256533400002,1.9007391763463444
CULP,CULP INC,Unclassified,88.5,0.266827475325,48.39620458227263
EPM,EVOLUTION PETROLEUM CORP,Energy,87.6,0.080336370978,115.33143554290359
ACRE,ARES COMMERCIAL REAL ESTATE CORP,Real Estate,87.5,0.10165008645,30.509428651843496
CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,87.5,0.13460107224,-1.3487475915221592
TNL,TRAVEL & LEISURE CO,Consumer Disc,87.4,2.602051566,8.08531524697691
ORA,ORMAT TECHNOLOGIES INC,Utilities,85.2,1.652156234949,48.823197696851
WLK,WESTLAKE CORP,Materials,85.0,6.000332202384,4.687976309715625
LYB,LYONDELLBASELL INDUSTRIES NV,Materials,84.8,18.255059758791,2.8854912967476887
CAH,CARDINAL HEALTH INC,Consumer Staples,83.2,22.001597069507998,-17.54388588175483
UBP,URSTADT BIDDLE PROPERTIES INC,Real Estate,82.8,0.11284010515800001,11.210539398458863
GNCIQ,GNC HOLDINGS INC,Consumer Staples,82.6,2.4658928128519997,-62.995240329825045
MLI,MUELLER INDUSTRIES INC,Materials,80.8,0.30905427926,49.1584982430183
WKC,WORLD KINECT CORP,Energy,80.7,2.28152252,19.99131351988581
CALL,MAGICJACK VOCALTEC LTD,Communication Svcs,80.5,0.1488493503,-27.513227513227513
SAFM,SANDERSON FARMS INC,Consumer Staples,80.3,1.6112158332320001,24.067953278619658
WM,WASTE MANAGEMENT INC,Utilities,80.3,19.62927243427,36.37831813115575
CMCSA,COMCAST CORP,Communication Svcs,79.4,41.537915023573994,24.99254991556572
LUMN,LUMEN TECHNOLOGIES INC,Communication Svcs,79.1,7.439555981955,2.221238284997429
SBRA,SABRA HEALTH CARE REIT INC,Real Estate,79.0,0.5515551862079999,31.31790269248935
CNL1,CLECO CORP,Utilities,78.5,3.1343008469219997,
TILE,INTERFACE INC,Unclassified,72.7,1.157191855734,-1.7868320719285236
