ticker,name,sector,score,mcap,ret
CALM,CAL-MAINE FOODS INC,Consumer Staples,98.9,3.8070735721820004,-3.142795266061127
CLMB,CLIMB GLOBAL SOLUTIONS INC,Industrials,95.9,0.118556335308,9.658339170363451
EXOD,EXODUS MOVEMENT INC,Financials,95.8,0.13755792981,-50.64232589587559
SM,SM ENERGY CO,Energy,95.6,2.109859108256,104.14811597350422
BKNG,BOOKING HOLDINGS INC,Industrials,93.6,6.8716046817,-8.467023172905531
NUTX,NUTEX HEALTH INC,Technology,93.5,1.16417881192,20.082614506135332
BTCS,BTCS INC,Financials,93.5,0.12365372448,-43.18181818181819
UAN,CVR PARTNERS LP,Materials,93.2,0.9961460087019999,39.53907858158436
MLI,MUELLER INDUSTRIES INC,Materials,92.8,6.335214880277,10.326458373490821
POWL,POWELL INDUSTRIES INC,Industrials,92.1,1.2832602162920002,65.05220308318572
MA,MASTERCARD INC,Financials,91.7,69.608299871563,3.1014397341271094
PRG,PROG HOLDINGS INC,Industrials,91.1,1.151725850532,32.09037220162065
KINS,KINGSTONE COMPANIES INC,Financials,91.1,0.23578103504800002,21.324852994119748
PTCT,PTC THERAPEUTICS INC,Healthcare,91.0,6.098699647799999,-6.003159557661908
COKE,COCA-COLA CONSOLIDATED INC,Consumer Staples,90.8,1.090091894421,29.321357677718595
UPBD,UPBOUND GROUP INC,Industrials,90.6,0.9744955469990001,10.939449759344
PRDO,PERDOCEO EDUCATION CORP,Industrials,90.1,1.8600130384920002,14.77677490749385
RITM,RITHM CAPITAL CORP,Real Estate,89.9,5.7303935678,-2.8046421663442844
COLL,COLLEGIUM PHARMACEUTICAL INC,Healthcare,89.8,1.4635881888,-48.81209503239741
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,89.3,36.20038192998,-2.8259703094258626
HG,HAMILTON INSURANCE GROUP LTD,Financials,88.7,1.682886942672,38.47982819450835
DTE,DTE ENERGY CO,Utilities,88.2,26.370342765688,7.9512341109203355
HRMY,HARMONY BIOSCIENCES HOLDINGS INC,Healthcare,88.0,2.15525571636,11.865312667022977
TTEC,TTEC HOLDINGS INC,Industrials,88.0,0.1747787976,-61.66666666666667
LRN,STRIDE INC,Industrials,87.9,2.84774065111,32.14230709995378
YELP,YELP INC,Industrials,87.8,1.86874154571,-27.114182296808163
HIPO,HIPPO HOLDINGS INC,Financials,87.8,0.76208218432,13.66356382978724
MPAA,MOTORCAR PARTS OF AMERICA INC,Consumer Disc,87.8,0.2413459051,-4.457050243111837
RYN,RAYONIER INC,Real Estate,87.3,3.2503644307200004,-3.7878787878787956
IBKR,INTERACTIVE BROKERS GROUP INC,Financials,87.1,2.7075556089119996,44.98065884701774
JILL,JJILL INC,Consumer Disc,86.9,0.20463164891400001,43.152607475254825
CPRX,CATALYST PHARMACEUTICALS INC,Healthcare,86.6,2.86877511258,
SIGA,SIGA TECHNOLOGIES INC,Healthcare,86.5,0.38634297429,-40.12974976830398
