ticker,name,sector,score,mcap,ret
REGI,RENEWABLE ENERGY GROUP INC,Materials,96.1,0.41773146252000004,-15.270506108202442
PDLI,PDL BIOPHARMA INC,Healthcare,95.6,0.6599083011119999,-2.3132427843803094
MNST,MONSTER BEVERAGE CORP,Consumer Staples,95.1,0.946850537812,59.890207189658206
MBI,MBIA INC,Financials,94.3,1.043713099898,-20.095781911954326
BBSI,BARRETT BUSINESS SERVICES INC,Industrials,93.7,0.136132223769,-69.87736196641929
ORLY,O REILLY AUTOMOTIVE INC,Consumer Disc,93.3,0.92094321093,49.64456357067941
CVI,CVR ENERGY INC,Energy,92.0,1.36072938455,-0.848701423010656
NHI,NATIONAL HEALTH INVESTORS INC,Real Estate,91.0,0.780421423296,30.986569509929996
SYNT,SYNTEL INC,Technology,90.8,1.205176622516,-1.0879356939921037
ALSK,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,Communication Svcs,90.1,0.09832117169599999,-15.56324110671936
XEL,XCEL ENERGY INC,Utilities,87.4,9.335219099115,33.47726424649502
CULP,CULP INC,Unclassified,86.9,0.20376699902,9.582782253216315
