ticker,name,sector,score,mcap,ret
X,UNITED STATES STEEL CORP,Materials,97.9,6.291829420929,6.120345316325193
QURE,UNIQURE NV,Healthcare,97.3,0.9584834205599999,9.305689488910328
RILY,BRC GROUP HOLDINGS INC,Financials,95.7,1.935465329259,-58.42912696038631
BCC,BOISE CASCADE CO,Industrials,94.6,2.2702528416540004,1.6059734589931152
KLIC,KULICKE & SOFFA INDUSTRIES INC,Technology,93.3,3.51368613947,-25.78077811334163
HCCI,HERITAGE-CRYSTAL CLEAN INC,Utilities,93.0,0.7745150015200001,1.4366021236726922
HOUS,ANYWHERE REAL ESTATE INC,Real Estate,92.7,1.95984775967,-61.98691255205235
SIG,SIGNET JEWELERS LTD,Consumer Disc,92.1,4.2981146626090005,-20.98632417938955
SAFM,SANDERSON FARMS INC,Consumer Staples,88.3,4.244623886208,
OMC,OMNICOM GROUP INC,Communication Svcs,85.3,13.284907625,15.713599999999994
ETRN,EQUITRANS MIDSTREAM CORP,Energy,82.4,3.726428616,-30.246053853296196
CRAI,CRA INTERNATIONAL INC,Unclassified,78.9,0.6528625253370001,32.92947908490041
