ticker,name,sector,score,mcap,ret
AVDL,AVADEL PHARMACEUTICALS PLC,Healthcare,98.1,0.32605011379999993,-69.7560975609756
ANET,ARISTA NETWORKS INC,Technology,95.9,1.076333882256,-12.65960336864983
LRCX,LAM RESEARCH CORP,Technology,94.4,2.6586715534160006,-24.779192300663954
NSP,INSPERITY INC,Industrials,92.9,0.9369491305330001,61.128289546860046
LYB,LYONDELLBASELL INDUSTRIES NV,Materials,92.6,22.039284875904,-22.39762313860253
MA,MASTERCARD INC,Financials,91.6,17.561762441918,23.664931694179714
TPIC,TPI COMPOSITES INC,Industrials,91.5,0.6958449069,19.50146627565981
KRO,KRONOS WORLDWIDE INC,Materials,91.4,1.9169047988220003,-53.866618296148495
MU,MICRON TECHNOLOGY INC,Technology,90.3,46.357823542452,-23.224663889651044
CNCE,CONCERT PHARMACEUTICALS INC,Healthcare,90.1,0.58912726548,-52.918438345574025
NRC,NRC HEALTH,Healthcare,89.8,0.21402452923200002,6.822951984242298
TTEK,TETRA TECH INC,Industrials,89.8,0.504790960928,7.285572358980019
CVI,CVR ENERGY INC,Energy,89.3,1.6752314476499999,-3.348364691857153
DCH,DAUCH CORP,Consumer Disc,89.1,1.8952699261600001,-34.64474456840869
TREX,TREX CO INC,Materials,88.6,0.7973556421219999,7.31419292936748
SRLP,SPRAGUE RESOURCES LP,Energy,87.4,0.293503271418,-32.411249423697555
GLP,GLOBAL PARTNERS LP,Energy,87.4,0.255068709189,7.370385179261607
LAZ,LAZARD INC,Financials,87.1,4.457984290214,-27.737672468999243
TNL,TRAVEL & LEISURE CO,Consumer Disc,87.0,3.8147304341120005,-28.572566935826615
CPRT,COPART INC,Consumer Disc,86.9,2.497388996481,10.030564045568212
MNST,MONSTER BEVERAGE CORP,Consumer Staples,86.7,8.9230273326,-22.512956642649474
T,AT&T INC,Communication Svcs,86.3,108.322655,-22.459620289033722
NXRT,NEXPOINT RESIDENTIAL TRUST INC,Real Estate,84.9,0.419332164328,28.72639614302934
DHIL,DIAMOND HILL INVESTMENT GROUP INC,Financials,84.8,0.43238465547899996,-24.40284675808173
SAFM,SANDERSON FARMS INC,Consumer Staples,84.2,3.0216424492320004,-27.713737517185123
MLP,MAUI LAND & PINEAPPLE CO INC,Real Estate,84.0,0.3305943327,-45.54913294797688
GLPI,GAMING & LEISURE PROPERTIES INC,Real Estate,83.8,4.572246720342,-6.179670789547109
WM,WASTE MANAGEMENT INC,Utilities,83.6,32.400775568421004,4.08073010895349
CMCSA,COMCAST CORP,Communication Svcs,82.8,60.974127273354995,-12.454745389950938
AWK,AMERICAN WATER WORKS COMPANY INC,Utilities,82.7,13.7306247904,0.47287466223238095
ORA,ORMAT TECHNOLOGIES INC,Utilities,82.7,3.057027634956,-17.51104784918651
CAH,CARDINAL HEALTH INC,Consumer Staples,82.6,15.418089383943999,-25.336294943120485
CRAI,CRA INTERNATIONAL INC,Unclassified,81.4,0.32120283735000005,-7.727846503408231
OMC,OMNICOM GROUP INC,Communication Svcs,81.4,12.338338549381001,2.630743072812547
CULP,CULP INC,Unclassified,76.7,0.36548519691599995,-42.574257425742566
VVV,VALVOLINE INC,Unclassified,75.5,4.632009517214,-22.465130514625496
