ticker,name,sector,score,mcap,ret
REGI,RENEWABLE ENERGY GROUP INC,Materials,96.1,0.41773146252000004,-15.270506108202442
PDLI,PDL BIOPHARMA INC,Healthcare,95.6,0.6599083011119999,-2.3132427843803094
MNST,MONSTER BEVERAGE CORP,Consumer Staples,95.1,0.946850537812,59.890207189658206
HLF,HERBALIFE LTD,Consumer Staples,95.0,3.956982467298,-51.881349874917035
MBI,MBIA INC,Financials,94.3,1.043713099898,-20.095781911954326
BBSI,BARRETT BUSINESS SERVICES INC,Industrials,93.7,0.136132223769,-69.87736196641929
ORLY,O REILLY AUTOMOTIVE INC,Consumer Disc,93.3,0.92094321093,49.64456357067941
MYGN,MYRIAD GENETICS INC,Healthcare,92.7,1.5683282202,62.34509056244042
USNA,USANA HEALTH SCIENCES INC,Healthcare,92.1,0.52423667335,35.7369674517068
CVI,CVR ENERGY INC,Energy,92.0,1.36072938455,-0.848701423010656
SWBI,SMITH & WESSON BRANDS INC,Industrials,91.7,0.48213533424,-29.793407613741874
HA,HAWAIIAN HOLDINGS INC,Industrials,91.6,0.486099576135,170.5032869921328
NHI,NATIONAL HEALTH INVESTORS INC,Real Estate,91.0,0.780421423296,30.986569509929996
SYNT,SYNTEL INC,Technology,90.8,1.205176622516,-1.0879356939921037
CRUS,CIRRUS LOGIC INC,Technology,90.8,1.2969509801,15.397796817625453
PEGA,PEGASYSTEMS INC,Technology,90.6,0.45018293811000004,-15.09402141833206
MLI,MUELLER INDUSTRIES INC,Materials,90.4,0.17439527176800002,9.4520103761349
HCI,HCI GROUP INC,Financials,90.3,0.436637446284,-16.953614489548773
ALSK,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,Communication Svcs,90.1,0.09832117169599999,-15.56324110671936
AE,ADAMS RESOURCES & ENERGY INC,Energy,90.1,0.216759128824,-25.981632097131968
WLBAQ,WESTMORELAND COAL CO,Energy,89.6,0.28148413599,72.16174183514777
TLYS,TILLY'S INC,Consumer Disc,88.6,0.078647563533,-15.369836695485118
BKE,BUCKLE INC,Consumer Disc,88.1,0.8022475471230001,4.000240978372194
EIG,EMPLOYERS HOLDINGS INC,Financials,87.8,0.71410193712,-24.873251748251747
VZ,VERIZON COMMUNICATIONS INC,Communication Svcs,87.7,72.399432527838,-0.5612870073915976
XEL,XCEL ENERGY INC,Utilities,87.4,9.335219099115,33.47726424649502
CULP,CULP INC,Unclassified,86.9,0.20376699902,9.582782253216315
SAFM,SANDERSON FARMS INC,Consumer Staples,84.9,1.4952589521800002,17.988552739165975
NI,NISOURCE INC,Utilities,84.5,2.6865032873,32.571428571428584
MAC,MACERICH CO,Real Estate,84.5,4.202289111486,47.19574596167351
AVA,AVISTA CORP,Utilities,84.4,1.006026251503,30.500686280360423
PCH,POTLATCHDELTIC CORP,Real Estate,84.0,0.899958583888,3.895694469464961
TNH,TERRA NITROGEN CO L P,Materials,83.1,1.91593070268,-22.25290908213028
CMCSA,COMCAST CORP,Communication Svcs,81.4,37.135316898,13.07222222222224
TILE,INTERFACE INC,Unclassified,74.0,1.314730923484,-24.397499243722898
KWR,QUAKER CHEMICAL CORP,Unclassified,73.2,0.87962061864,21.2047614764175
