ticker,name,sector,score,mcap,ret
ANDX,ANDEAVOR LOGISTICS LP,Industrials,97.3,0.8338903994979999,-2.111239462236081
IBKR,INTERACTIVE BROKERS GROUP INC,Financials,96.4,0.36192524907,63.75729288214702
BBSI,BARRETT BUSINESS SERVICES INC,Industrials,95.5,0.101512749338,2.3547880690737877
CPRT,COPART INC,Consumer Disc,94.4,0.79362329397,55.89084608720762
IMPH,IMPAC MORTGAGE HOLDINGS INC,Real Estate,94.0,0.22454408166,-27.5320970042796
NSP,INSPERITY INC,Industrials,93.5,0.562963750806,69.8968214974111
SWBI,SMITH & WESSON BRANDS INC,Industrials,93.4,0.758444811696,-39.08942364824718
MNST,MONSTER BEVERAGE CORP,Consumer Staples,93.3,2.1097513613100003,42.73342354533152
GBX,GREENBRIER COMPANIES INC,Industrials,93.2,0.89530479899,30.828449231744017
TREX,TREX CO INC,Materials,92.8,0.47325030690000003,68.31055900621116
UVE,UNIVERSAL INSURANCE HOLDINGS INC,Financials,92.6,0.6932714246380001,-0.9855453350854138
ISRG,INTUITIVE SURGICAL INC,Healthcare,91.6,2.7302306360929998,72.63954131955781
NRC,NRC HEALTH,Healthcare,90.6,0.107492574112,99.1063392053491
MA,MASTERCARD INC,Financials,90.6,11.892045351422,47.676551198301965
ENZB,ENZO BIOCHEM INC,Healthcare,89.6,0.29306064149700006,17.438003474964447
USNA,USANA HEALTH SCIENCES INC,Healthcare,89.5,0.7462422,20.996732026143782
CAH,CARDINAL HEALTH INC,Consumer Staples,89.2,17.64989078879,-12.644845407561888
GNCIQ,GNC HOLDINGS INC,Consumer Staples,89.1,0.75513587856,-66.57608695652173
EXLS,EXLSERVICE HOLDINGS INC,Technology,88.8,0.33802074456799996,19.64710547184776
SEM,SELECT MEDICAL HOLDINGS CORP,Healthcare,88.6,0.8631835020599999,33.20558025448415
TNL,TRAVEL & LEISURE CO,Consumer Disc,88.4,2.610671104197,55.4225323040086
SMCI,SUPER MICRO COMPUTER INC,Technology,88.0,0.13458431514000002,-25.383244206773625
RRD,RR DONNELLEY & SONS CO,Communication Svcs,88.0,0.976502,-39.95711222301643
DCH,DAUCH CORP,Consumer Disc,87.3,1.4759321038,-11.761658031088086
AMZN,AMAZON COM INC,Consumer Disc,87.2,17.815418596811,55.95977915877628
WU,WESTERN UNION CO,Technology,87.1,5.93317271529,-9.283321075426976
BKE,BUCKLE INC,Consumer Disc,87.1,0.40094344388,15.437788018433185
CALL,MAGICJACK VOCALTEC LTD,Communication Svcs,86.7,0.10889236075,23.357664233576635
SRCL,STERICYCLE INC,Utilities,86.1,6.554831376240001,-11.7471443406023
CSGP,COSTAR GROUP INC,Technology,85.7,0.614353769409,57.541514138681094
WKC,WORLD KINECT CORP,Energy,84.7,2.725329236,-38.26206112001655
MLI,MUELLER INDUSTRIES INC,Materials,84.5,0.4627591751749999,-2.145071295722245
MGI,MONEYGRAM INTERNATIONAL INC,Technology,84.1,0.6268067507799999,11.600338696020307
WM,WASTE MANAGEMENT INC,Utilities,83.6,26.500737024216,24.45626792981519
LYB,LYONDELLBASELL INDUSTRIES NV,Materials,83.5,17.030013039347,33.70025604824236
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,Real Estate,83.4,0.325385705778,-0.6750241080038522
ACRE,ARES COMMERCIAL REAL ESTATE CORP,Real Estate,82.8,0.132074539572,1.8546474013370728
CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,82.6,0.12207088640000001,-18.9453125
CULP,CULP INC,Unclassified,82.3,0.394727209116,-8.327874988303552
ARLP,ALLIANCE RESOURCE PARTNERS LP,Energy,82.0,0.665284598625,-4.0357741755170595
UFPI,UFP INDUSTRIES INC,Materials,82.0,0.620195294195,11.48991968529749
AHGP,ALLIANCE HOLDINGS GP LP,Energy,81.8,1.454371585,4.297180489812713
LUMN,LUMEN TECHNOLOGIES INC,Communication Svcs,81.4,7.572753190628,-21.84522090672827
INN,SUMMIT HOTEL PROPERTIES INC,Real Estate,80.9,0.965872779948,-0.8049199602062074
ORA,ORMAT TECHNOLOGIES INC,Utilities,80.7,2.488830706237,20.493388907723897
OMC,OMNICOM GROUP INC,Communication Svcs,80.6,14.334714223785,-11.930032416777737
CMCSA,COMCAST CORP,Communication Svcs,80.1,51.919299169725996,17.44019709131368
IRT,INDEPENDENCE REALTY TRUST INC,Real Estate,79.4,0.39369157542,21.73151069050121
RDC,ROWAN COMPANIES PLC,Energy,79.2,2.36954510903,-17.098994176813132
HRTG,HERITAGE INSURANCE HOLDINGS INC,Financials,78.4,0.43536392671999996,16.980858468677496
KMB,KIMBERLY CLARK CORP,Materials,78.2,29.204351917629996,9.044529745772056
JBSS,SANFILIPPO JOHN B & SON INC,Consumer Staples,77.7,0.37762674881999997,-6.649605367857381
HLF,HERBALIFE LTD,Consumer Staples,75.6,2.23969874509,40.673036975488166
TILE,INTERFACE INC,Unclassified,74.3,1.1182263502079999,37.273306680572446
UGI,UGI CORP,Utilities,73.3,5.604496433976,3.9846908855211582
SO,SOUTHERN CO,Utilities,73.0,32.3546828322,2.414054217779782
BWP,BOARDWALK PIPELINE PARTNERS LP,Energy,72.4,4.160182813622,-23.80723181517357
CRAI,CRA INTERNATIONAL INC,Unclassified,69.5,0.26273694969600003,24.732334047109195
SFLY,SHUTTERFLY INC,Unclassified,65.5,1.70336707502,-0.856915105619771
MHK,MOHAWK INDUSTRIES INC,Unclassified,63.9,14.767685637120001,38.1710737179487
